employee_completion_rate,employee_failure_rate,employee_rejection_rate,current_active_tasks,task_priority,category_match_rate,high_priority_success_rate,is_successful
0.501,0.096,0.16,12,1,0.896,0.402,0
0.507,0.38,0.08,5,3,0.404,0.254,0
0.464,0.122,0.273,6,1,0.619,0.302,0
0.329,0.068,0.11,14,2,0.635,0.29,0
0.313,0.184,0.014,7,2,0.563,0.898,0
0.823,0.102,0.075,4,3,0.241,0.944,0
0.599,0.014,0.159,2,4,0.992,0.58,1
0.569,0.129,0.122,2,1,0.255,0.704,0
0.721,0.202,0.076,12,2,0.776,0.757,0
0.453,0.221,0.039,1,3,0.812,0.513,0
0.713,0.105,0.182,7,1,0.231,0.496,0
0.64,0.135,0.225,0,3,0.94,0.74,1
0.363,0.386,0.099,11,4,0.539,0.501,0
0.592,0.151,0.114,7,4,0.666,0.665,0
0.76,0.086,0.154,2,1,0.678,0.612,0
0.754,0.076,0.169,8,4,0.554,0.62,0
0.627,0.183,0.118,11,1,0.228,0.863,0
0.559,0.233,0.208,13,1,0.777,0.763,0
0.417,0.082,0.168,11,4,0.624,0.969,0
0.704,0.201,0.096,10,3,0.207,0.833,0
0.462,0.008,0.194,1,3,0.73,0.317,0
0.679,0.119,0.202,9,1,0.732,0.791,0
0.579,0.238,0.183,8,2,0.594,0.733,0
0.725,0.135,0.012,5,1,0.181,0.717,0
0.659,0.225,0.1,0,3,0.417,0.585,0
0.461,0.082,0.141,4,1,0.146,0.25,0
0.424,0.297,0.094,9,3,0.53,0.961,0
0.454,0.021,0.21,8,4,0.916,0.882,0
0.422,0.335,0.243,12,1,0.102,0.589,0
0.739,0.069,0.192,5,1,0.34,0.327,0
0.457,0.294,0.249,6,4,0.82,0.86,0
0.34,0.141,0.082,3,4,0.109,0.545,0
0.639,0.189,0.172,0,2,0.109,0.512,0
0.72,0.1,0.18,4,4,0.65,0.732,0
0.668,0.255,0.076,1,2,0.81,0.807,1
0.786,0.04,0.174,7,4,0.799,0.25,0
0.422,0.071,0.031,3,3,0.802,0.814,1
0.571,0.195,0.234,0,1,0.425,0.787,0
0.812,0.032,0.156,9,4,0.894,0.671,1
0.787,0.078,0.088,6,3,0.112,0.471,0
0.408,0.378,0.197,11,4,0.381,0.332,0
0.599,0.269,0.132,10,1,0.403,0.282,0
0.457,0.151,0.063,1,4,0.249,0.201,0
0.457,0.369,0.009,2,4,0.403,0.365,0
0.66,0.213,0.127,13,1,0.627,0.529,0
0.715,0.108,0.171,8,4,0.568,0.395,0
0.565,0.225,0.21,14,1,0.387,0.447,0
0.364,0.264,0.278,12,2,0.774,0.512,0
0.623,0.269,0.108,8,4,0.743,0.447,0
0.486,0.106,0.226,1,3,0.353,0.78,0
0.391,0.269,0.132,2,4,0.391,0.593,0
0.79,0.018,0.192,10,1,0.359,0.215,0
0.901,0.042,0.057,11,1,0.216,0.381,0
0.889,0.002,0.11,8,3,0.778,0.768,0
0.595,0.274,0.131,0,3,0.142,0.441,0
0.699,0.296,0.005,1,1,0.236,0.936,1
0.563,0.259,0.178,10,2,0.195,0.77,0
0.361,0.204,0.251,1,2,0.843,0.432,0
0.586,0.12,0.12,9,1,0.14,0.613,0
0.561,0.061,0.134,13,2,0.698,0.734,0
0.482,0.114,0.255,2,3,0.14,0.355,0
0.678,0.126,0.196,9,2,0.808,0.397,0
0.625,0.292,0.083,2,3,0.921,0.606,0
0.357,0.216,0.097,9,4,0.538,0.94,0
0.454,0.031,0.204,12,3,0.824,0.475,0
0.778,0.007,0.169,1,4,0.736,0.522,1
0.353,0.041,0.049,7,3,0.816,0.352,0
0.777,0.142,0.081,7,3,0.79,0.675,1
0.501,0.289,0.209,7,2,0.285,0.792,0
0.58,0.232,0.188,1,3,0.55,0.553,0
0.537,0.241,0.222,14,1,0.964,0.8,0
0.678,0.144,0.178,12,4,0.409,0.442,0
0.543,0.145,0.283,8,4,0.973,0.766,0
0.775,0.043,0.065,10,3,0.625,0.407,0
0.545,0.274,0.181,6,1,0.515,0.825,0
0.487,0.313,0.006,11,3,0.692,0.865,0
0.773,0.057,0.17,4,3,0.834,0.838,1
0.713,0.17,0.117,6,2,0.455,0.372,0
0.718,0.184,0.098,7,3,0.13,0.755,0
0.638,0.178,0.184,8,3,0.738,0.631,0
0.588,0.245,0.166,1,2,0.961,0.989,0
0.769,0.224,0.006,5,2,0.662,0.489,1
0.69,0.168,0.142,8,1,0.27,0.817,0
0.788,0.02,0.11,12,2,0.323,0.496,0
0.776,0.025,0.125,5,4,0.919,0.517,1
0.693,0.071,0.236,1,4,0.112,0.289,0
0.827,0.013,0.093,0,1,0.594,0.392,1
0.411,0.297,0.283,11,3,0.243,0.332,0
0.728,0.23,0.043,2,1,0.354,0.327,0
0.782,0.047,0.171,10,2,0.376,0.207,0
0.32,0.334,0.202,4,3,0.297,0.835,0
0.865,0.061,0.074,6,1,0.813,0.574,0
0.39,0.12,0.097,9,1,0.399,0.843,0
0.535,0.1,0.25,9,4,0.411,0.69,0
0.685,0.124,0.191,2,1,0.508,0.865,0
0.413,0.102,0.099,8,3,0.912,0.603,0
0.71,0.159,0.13,9,1,0.719,0.275,0
0.829,0.153,0.017,11,1,0.156,0.693,0
0.589,0.355,0.056,3,2,0.135,0.742,0
0.304,0.022,0.146,9,1,0.61,0.701,0
0.501,0.057,0.026,1,3,0.898,0.841,1
0.727,0.021,0.251,2,4,0.391,0.785,1
0.679,0.172,0.148,4,4,0.323,0.546,0
0.709,0.021,0.27,2,4,0.773,0.855,1
0.47,0.327,0.203,4,4,0.642,0.753,0
0.604,0.166,0.229,3,2,0.609,0.296,0
0.643,0.2,0.158,12,3,0.234,0.632,0
0.676,0.18,0.144,10,2,0.258,0.783,0
0.375,0.068,0.293,9,4,0.354,0.643,0
0.754,0.072,0.174,12,2,0.286,0.959,0
0.679,0.128,0.009,2,1,0.974,0.281,1
0.682,0.166,0.152,11,3,0.117,0.778,0
0.539,0.084,0.272,5,1,0.663,0.86,1
0.723,0.045,0.232,7,2,0.566,0.762,1
0.628,0.256,0.116,12,1,0.391,0.508,0
0.372,0.009,0.201,11,2,0.899,0.508,0
0.607,0.204,0.189,3,2,0.703,0.669,0
0.695,0.28,0.024,8,3,0.999,0.518,0
0.347,0.119,0.2,5,3,0.252,0.907,0
0.511,0.054,0.085,4,3,0.179,0.288,0
0.761,0.056,0.184,2,4,0.225,0.711,1
0.347,0.279,0.182,4,3,0.342,0.307,0
0.7,0.254,0.046,4,1,0.475,0.632,0
0.542,0.313,0.062,13,3,0.876,0.772,0
0.567,0.289,0.144,14,3,0.355,0.332,0
0.332,0.277,0.038,11,3,0.924,0.763,0
0.865,0.059,0.076,11,2,0.517,0.312,0
0.738,0.073,0.188,3,2,0.682,0.696,1
0.692,0.238,0.069,11,3,0.338,0.604,0
0.782,0.079,0.139,5,2,0.24,0.438,1
0.391,0.029,0.282,2,2,0.883,0.289,1
0.704,0.238,0.058,9,4,0.199,0.789,0
0.317,0.161,0.117,0,1,0.797,0.505,1
0.315,0.368,0.182,6,2,0.623,0.269,0
0.52,0.257,0.224,6,1,0.875,0.818,0
0.642,0.036,0.27,11,2,0.746,0.386,0
0.562,0.254,0.184,3,3,0.353,0.789,0
0.698,0.093,0.209,8,2,0.617,0.652,0
0.612,0.135,0.068,11,2,0.112,0.356,0
0.492,0.161,0.007,1,1,0.528,0.261,1
0.88,0.018,0.102,14,3,0.177,0.675,0
0.598,0.199,0.042,12,4,0.486,0.22,0
0.616,0.049,0.213,0,1,0.199,0.252,1
0.415,0.16,0.198,14,3,0.96,0.762,0
0.848,0.139,0.013,2,3,0.571,0.631,1
0.584,0.23,0.187,6,1,0.922,0.461,0
0.455,0.321,0.075,8,2,0.12,0.631,0
0.358,0.061,0.13,1,3,0.674,0.673,1
0.691,0.131,0.178,5,4,0.376,0.652,0
0.732,0.144,0.124,2,2,0.489,0.714,1
0.491,0.061,0.132,4,1,0.886,0.952,0
0.74,0.245,0.015,11,1,0.982,0.511,0
0.406,0.283,0.12,8,1,0.322,0.441,0
0.603,0.076,0.229,2,1,0.953,0.231,1
0.695,0.106,0.199,0,4,0.72,0.318,1
0.594,0.042,0.124,4,4,0.956,0.285,0
0.664,0.223,0.113,0,3,0.606,0.468,0
0.578,0.049,0.211,7,4,0.965,0.688,0
0.421,0.337,0.242,6,1,0.903,0.237,0
0.716,0.226,0.058,14,4,0.216,0.782,0
0.587,0.156,0.132,10,2,0.38,0.518,0
0.663,0.166,0.171,1,2,0.319,0.971,1
0.457,0.361,0.181,13,3,0.615,0.655,0
0.449,0.222,0.033,10,1,0.823,0.817,0
0.322,0.07,0.188,8,4,0.783,0.889,0
0.756,0.151,0.056,4,3,0.754,0.911,1
0.532,0.322,0.146,6,3,0.438,0.615,0
0.685,0.195,0.12,3,4,0.226,0.517,0
0.547,0.225,0.228,11,3,0.29,0.648,0
0.668,0.237,0.095,12,1,0.768,0.522,0
0.43,0.358,0.084,0,4,0.233,0.393,0
0.675,0.273,0.052,13,2,0.301,0.459,0
0.738,0.033,0.229,7,2,0.482,0.386,0
0.757,0.196,0.046,12,4,0.165,0.416,0
0.678,0.225,0.097,0,3,0.291,0.275,1
0.699,0.254,0.047,2,3,0.235,0.541,0
0.609,0.2,0.191,5,2,0.956,0.388,1
0.392,0.067,0.142,7,2,0.272,0.559,0
0.323,0.319,0.105,7,1,0.876,0.834,0
0.704,0.215,0.081,1,3,0.203,0.559,0
0.716,0.034,0.25,8,1,0.883,0.964,0
0.709,0.153,0.137,3,2,0.639,0.318,1
0.637,0.07,0.215,3,2,0.865,0.88,0
0.382,0.135,0.269,14,2,0.881,0.399,0
0.388,0.007,0.271,13,2,0.637,0.947,0
0.751,0.154,0.095,1,1,0.926,0.382,1
0.543,0.199,0.258,0,2,0.627,0.798,1
0.44,0.248,0.007,9,4,0.741,0.25,0
0.63,0.26,0.111,6,3,0.474,0.704,0
0.345,0.335,0.269,10,2,0.923,0.375,0
0.707,0.086,0.082,9,3,0.842,0.736,0
0.488,0.048,0.082,2,2,0.25,0.709,0
0.666,0.264,0.07,3,1,0.619,0.939,1
0.517,0.063,0.184,10,3,0.907,0.701,0
0.543,0.342,0.115,8,1,0.814,0.527,0
0.308,0.337,0.218,5,2,0.966,0.355,0
0.351,0.2,0.268,13,4,0.308,0.726,0
0.491,0.336,0.173,0,4,0.431,0.293,0
0.636,0.039,0.061,8,4,0.556,0.863,0
0.642,0.108,0.25,8,4,0.309,0.398,0
0.504,0.255,0.079,4,4,0.455,0.619,0
0.786,0.14,0.045,7,1,0.584,0.677,0
0.694,0.286,0.021,6,4,0.272,0.49,0
0.812,0.025,0.162,10,2,0.331,0.731,0
0.328,0.22,0.034,7,1,0.212,0.4,0
0.636,0.236,0.042,8,1,0.742,0.228,0
0.373,0.261,0.09,13,4,0.425,0.967,0
0.469,0.102,0.084,1,3,0.298,0.456,0
0.752,0.111,0.138,9,2,0.557,0.771,1
0.4,0.337,0.245,4,1,0.161,0.606,0
0.649,0.078,0.228,7,2,0.931,0.735,0
0.641,0.29,0.069,2,3,0.365,0.289,0
0.726,0.206,0.067,10,1,0.898,0.615,0
0.538,0.237,0.225,14,2,0.548,0.514,0
0.307,0.285,0.002,10,4,0.865,0.561,0
0.529,0.083,0.264,5,1,0.322,0.973,0
0.662,0.228,0.06,5,1,0.258,0.309,0
0.362,0.347,0.284,6,1,0.864,0.804,0
0.545,0.173,0.103,12,1,0.292,0.464,0
0.323,0.387,0.132,10,4,0.772,0.432,0
0.355,0.181,0.212,2,3,0.41,0.417,0
0.578,0.057,0.176,7,3,0.773,0.479,0
0.393,0.156,0.095,7,2,0.917,0.486,0
0.56,0.306,0.134,8,4,0.983,0.417,0
0.693,0.113,0.194,7,4,0.424,0.734,0
0.705,0.285,0.01,2,2,0.431,0.238,0
0.44,0.353,0.003,5,4,0.983,0.466,0
0.417,0.14,0.137,8,4,0.875,0.424,0
0.373,0.033,0.04,0,1,0.141,0.801,0
0.604,0.235,0.161,2,1,0.616,0.317,1
0.795,0.125,0.064,1,1,0.263,0.953,1
0.322,0.313,0.13,11,4,0.995,0.336,0
0.802,0.149,0.05,7,4,0.225,0.496,0
0.336,0.194,0.165,5,3,0.603,0.36,0
0.662,0.304,0.034,9,1,0.699,0.429,0
0.796,0.153,0.007,10,2,0.943,0.809,0
0.825,0.161,0.014,10,4,0.863,0.581,0
0.647,0.122,0.232,7,1,0.321,0.33,0
0.82,0.14,0.041,1,3,0.615,0.237,1
0.538,0.21,0.213,10,1,0.958,0.384,0
0.717,0.266,0.017,5,3,0.762,0.956,1
0.356,0.145,0.032,6,3,0.72,0.876,0
0.719,0.163,0.118,7,4,0.779,0.552,0
0.626,0.246,0.128,8,3,0.39,0.586,0
0.689,0.085,0.226,4,3,0.756,0.919,0
0.61,0.11,0.28,10,2,0.31,0.673,0
0.553,0.275,0.172,2,3,0.485,0.905,0
0.587,0.254,0.159,1,2,0.901,0.593,0
0.689,0.196,0.116,7,2,0.117,0.36,0
0.357,0.259,0.107,0,1,0.473,0.781,0
0.342,0.012,0.284,9,1,0.34,0.621,0
0.473,0.247,0.181,14,4,0.279,0.735,0
0.412,0.204,0.174,5,4,0.855,0.326,0
0.76,0.182,0.058,1,4,0.727,0.718,1
0.453,0.144,0.014,2,3,0.201,0.506,0
0.757,0.025,0.218,7,1,0.545,0.466,0
0.536,0.077,0.094,0,3,0.52,0.737,1
0.427,0.38,0.133,5,1,0.228,0.674,0
0.812,0.156,0.033,2,3,0.82,0.719,0
0.635,0.156,0.209,5,4,0.43,0.972,0
0.649,0.021,0.008,2,1,0.786,0.761,0
0.689,0.015,0.25,10,1,0.273,0.713,0
0.71,0.253,0.037,10,2,0.384,0.691,0
0.46,0.215,0.266,7,1,0.186,0.519,0
0.702,0.143,0.154,4,1,0.229,0.871,0
0.87,0.086,0.044,3,3,0.895,0.505,0
0.618,0.244,0.139,8,4,0.198,0.76,0
0.44,0.067,0.094,14,2,0.186,0.435,0
0.776,0.076,0.053,4,3,0.946,0.318,0
0.351,0.184,0.258,11,1,0.681,0.304,0
0.321,0.115,0.121,13,3,0.191,0.708,0
0.48,0.099,0.12,3,4,0.975,0.462,0
0.624,0.258,0.051,7,2,0.232,0.42,0
0.707,0.203,0.09,7,3,0.79,0.674,1
0.578,0.236,0.187,7,1,0.131,0.221,0
0.748,0.152,0.099,3,3,0.662,0.397,0
0.598,0.029,0.285,12,1,0.592,0.472,0
0.542,0.109,0.284,0,2,0.287,0.767,1
0.56,0.392,0.043,1,2,0.679,0.636,1
0.773,0.186,0.041,3,3,0.655,0.885,1
0.328,0.284,0.259,9,2,0.819,0.468,0
0.882,0.003,0.115,1,4,0.888,0.437,1
0.705,0.207,0.001,10,3,0.559,0.227,0
0.607,0.015,0.082,9,1,0.541,0.961,0
0.665,0.187,0.148,13,3,0.659,0.601,0
0.513,0.295,0.192,13,1,0.756,0.602,0
0.681,0.289,0.03,2,2,0.421,0.939,0
0.789,0.183,0.028,8,1,0.554,0.432,0
0.564,0.174,0.262,14,1,0.627,0.466,0
0.45,0.345,0.205,8,1,0.99,0.725,0
0.616,0.232,0.152,13,1,0.629,0.828,0
0.785,0.022,0.193,14,4,0.302,0.759,0
0.447,0.186,0.129,10,1,0.629,0.831,0
0.695,0.091,0.215,8,3,0.838,0.66,1
0.712,0.18,0.107,6,4,0.872,0.89,1
0.761,0.17,0.069,14,1,0.82,0.64,0
0.392,0.233,0.219,3,1,0.899,0.383,0
0.749,0.133,0.118,0,1,0.401,0.633,1
0.722,0.051,0.227,2,4,0.557,0.77,0
0.426,0.201,0.105,14,1,0.802,0.723,0
0.434,0.309,0.257,13,1,0.338,0.394,0
0.642,0.174,0.183,7,1,0.434,0.233,0
0.427,0.135,0.073,3,2,0.848,0.402,0
0.594,0.248,0.158,9,3,0.793,0.987,0
0.566,0.32,0.114,9,1,0.974,0.348,0
0.473,0.084,0.275,1,3,0.996,0.571,0
0.858,0.015,0.127,13,2,0.317,0.711,0
0.541,0.262,0.197,7,2,0.91,0.904,0
0.584,0.293,0.124,6,1,0.185,0.808,0
0.548,0.384,0.068,10,3,0.739,0.927,0
0.632,0.315,0.053,9,4,0.298,0.684,0
0.414,0.24,0.128,8,1,0.37,0.892,0
0.567,0.209,0.224,1,4,0.952,0.411,0
0.836,0.01,0.155,14,2,0.337,0.544,0
0.481,0.099,0.207,4,2,0.706,0.875,0
0.739,0.179,0.082,5,3,0.26,0.46,0
0.528,0.251,0.144,12,4,0.184,0.897,0
0.781,0.207,0.012,1,4,0.405,0.49,1
0.392,0.297,0.245,14,1,0.662,0.491,0
0.705,0.081,0.214,1,3,0.323,0.447,0
0.618,0.226,0.122,12,3,0.37,0.638,0
0.465,0.035,0.003,14,4,0.738,0.303,0
0.351,0.165,0.051,13,2,0.193,0.229,0
0.419,0.3,0.196,13,3,0.502,0.918,0
0.59,0.247,0.163,9,2,0.948,0.943,0
0.459,0.339,0.202,13,1,0.457,0.261,0
0.825,0.104,0.071,3,3,0.491,0.64,1
0.584,0.193,0.222,14,3,0.764,0.632,0
0.474,0.132,0.206,7,1,0.801,0.498,0
0.728,0.175,0.096,14,3,0.793,0.655,0
0.611,0.263,0.126,13,4,0.998,0.566,0
0.417,0.274,0.044,14,4,0.164,0.592,0
0.417,0.353,0.136,12,1,0.984,0.804,0
0.326,0.081,0.264,10,2,0.955,0.621,0
0.632,0.271,0.098,4,2,0.867,0.459,1
0.735,0.023,0.242,8,3,0.509,0.665,0
0.543,0.305,0.152,3,2,0.884,0.713,0
0.825,0.122,0.053,2,2,0.299,0.73,0
0.742,0.108,0.15,9,1,0.812,0.695,0
0.666,0.192,0.142,14,2,0.267,0.732,0
0.647,0.268,0.085,7,2,0.834,0.448,0
0.444,0.019,0.036,0,2,0.653,0.557,0
0.378,0.141,0.125,8,4,0.188,0.735,0
0.489,0.343,0.022,3,4,0.906,0.803,1
0.34,0.158,0.03,10,1,0.62,0.547,0
0.672,0.08,0.125,8,3,0.691,0.492,0
0.785,0.14,0.075,7,1,0.355,0.773,0
0.328,0.154,0.278,2,3,0.884,0.378,0
0.385,0.366,0.113,2,3,0.591,0.208,0
0.537,0.265,0.198,13,2,0.479,0.577,0
0.725,0.154,0.121,8,2,0.581,0.339,1
0.462,0.351,0.187,2,1,0.733,0.503,0
0.655,0.186,0.078,3,1,0.726,0.433,1
0.329,0.023,0.283,8,1,0.422,0.822,0
0.404,0.105,0.159,11,4,0.447,0.465,0
0.7,0.123,0.176,3,4,0.606,0.713,1
0.85,0.055,0.095,10,4,0.932,0.739,0
0.303,0.379,0.03,2,4,0.771,0.565,0
0.655,0.208,0.137,13,4,0.451,0.265,0
0.747,0.107,0.002,6,2,0.403,0.76,0
0.705,0.184,0.111,5,3,0.571,0.26,0
0.618,0.289,0.058,0,4,0.883,0.279,1
0.539,0.307,0.154,13,1,0.108,0.357,0
0.498,0.274,0.228,9,3,0.739,0.424,0
0.689,0.185,0.125,7,4,0.365,0.877,0
0.398,0.31,0.245,0,4,0.288,0.74,0
0.321,0.225,0.152,3,2,0.111,0.51,0
0.516,0.221,0.149,5,2,0.907,0.983,0
0.709,0.041,0.25,5,2,0.921,0.395,1
0.441,0.05,0.267,6,4,0.155,0.688,0
0.633,0.174,0.193,13,2,0.57,0.878,0
0.833,0.091,0.076,10,4,0.237,0.842,0
0.366,0.008,0.164,11,3,0.783,0.272,0
0.684,0.257,0.06,13,3,0.699,0.758,0
0.611,0.013,0.133,4,4,0.367,0.406,0
0.703,0.184,0.113,4,1,0.205,0.485,1
0.424,0.216,0.249,3,4,0.848,0.591,0
0.545,0.269,0.187,5,3,0.707,0.833,1
0.736,0.161,0.103,6,3,0.106,0.333,0
0.961,0.025,0.005,9,4,0.665,0.287,0
0.619,0.175,0.206,14,4,0.829,0.323,0
0.625,0.325,0.05,9,4,0.632,0.375,0
0.556,0.303,0.142,0,3,0.482,0.248,0
0.835,0.158,0.007,8,1,0.626,0.941,0
0.699,0.128,0.12,14,4,0.658,0.455,0
0.321,0.363,0.296,13,3,0.676,0.342,0
0.899,0.072,0.029,7,4,0.97,0.71,0
0.677,0.213,0.11,6,3,0.261,0.83,0
0.752,0.158,0.09,8,4,0.661,0.803,0
0.451,0.016,0.272,2,3,0.269,0.775,1
0.656,0.12,0.225,9,4,0.289,0.24,0
0.576,0.106,0.071,3,2,0.702,0.826,1
0.717,0.26,0.023,6,4,0.924,0.602,1
0.375,0.38,0.188,5,3,0.243,0.719,0
0.76,0.107,0.101,13,4,0.966,0.965,0
0.655,0.213,0.132,12,1,0.387,0.849,0
0.334,0.022,0.01,1,4,0.452,0.86,1
0.794,0.174,0.032,1,4,0.238,0.345,0
0.585,0.028,0.206,9,4,0.654,0.581,0
0.675,0.277,0.047,6,1,0.637,0.959,0
0.601,0.217,0.182,8,1,0.498,0.666,1
0.697,0.263,0.018,10,1,0.528,0.282,0
0.675,0.272,0.053,14,2,0.661,0.785,0
0.621,0.176,0.203,11,1,0.625,0.234,0
0.53,0.352,0.118,8,2,0.437,0.794,0
0.516,0.279,0.206,6,4,0.896,0.904,1
0.644,0.31,0.046,10,2,0.701,0.54,0
0.689,0.165,0.146,7,4,0.285,0.531,0
0.759,0.043,0.198,9,2,0.388,0.443,0
0.737,0.181,0.081,2,1,0.809,0.902,1
0.605,0.051,0.249,0,1,0.194,0.638,0
0.676,0.184,0.14,6,2,0.775,0.663,0
0.384,0.193,0.117,7,2,0.423,0.729,0
0.621,0.227,0.152,1,1,0.597,0.44,0
0.304,0.004,0.173,14,4,0.353,0.546,0
0.527,0.078,0.05,8,4,0.988,0.793,0
0.557,0.197,0.121,3,4,0.915,0.988,1
0.544,0.358,0.097,9,4,0.936,0.227,0
0.742,0.145,0.113,10,3,0.266,0.234,0
0.572,0.17,0.228,8,4,0.858,0.542,1
0.588,0.274,0.139,12,3,0.582,0.728,0
0.466,0.242,0.282,2,3,0.737,0.509,0
0.561,0.12,0.088,7,1,0.296,1.0,0
0.459,0.164,0.125,10,1,0.741,0.356,0
0.351,0.087,0.236,1,2,0.923,0.206,1
0.568,0.304,0.129,14,4,0.341,0.352,0
0.768,0.052,0.164,13,4,0.31,0.909,0
0.734,0.149,0.016,2,1,0.194,0.316,0
0.624,0.01,0.12,0,1,0.34,0.583,1
0.566,0.089,0.081,4,1,0.582,0.535,0
0.596,0.206,0.198,3,2,0.849,0.733,0
0.663,0.08,0.093,12,4,0.351,0.244,0
0.635,0.032,0.265,0,2,0.659,0.727,0
0.318,0.19,0.203,9,3,0.532,0.484,0
0.539,0.004,0.102,8,3,0.36,0.941,0
0.566,0.034,0.163,5,4,0.559,0.879,0
0.502,0.28,0.218,5,1,0.251,0.52,0
0.552,0.241,0.207,13,1,0.676,0.994,0
0.619,0.337,0.044,10,2,0.204,0.242,0
0.621,0.292,0.087,1,3,0.758,0.831,1
0.691,0.226,0.083,14,3,0.26,0.547,0
0.869,0.021,0.013,13,4,0.998,0.547,0
0.62,0.242,0.139,6,3,0.841,0.336,0
0.62,0.216,0.164,11,1,0.409,0.612,0
0.313,0.32,0.114,11,1,0.484,0.268,0
0.437,0.203,0.222,14,1,0.333,0.693,0
0.305,0.093,0.188,8,4,0.79,0.393,0
0.626,0.281,0.094,5,2,0.443,0.78,0
0.736,0.231,0.034,10,3,0.78,0.686,0
0.437,0.365,0.198,7,4,0.117,0.797,0
0.749,0.049,0.202,11,2,0.222,0.8,0
0.342,0.09,0.206,4,4,0.428,0.357,0
0.914,0.081,0.005,1,3,0.198,0.201,1
0.546,0.317,0.065,12,1,0.641,0.493,0
0.371,0.075,0.021,14,2,0.146,0.935,0
0.64,0.027,0.171,3,2,0.874,0.662,0
0.434,0.361,0.205,11,4,0.785,0.782,0
0.499,0.01,0.033,0,4,0.295,0.904,0
0.468,0.304,0.228,0,1,0.535,0.925,0
0.734,0.124,0.142,5,4,0.507,0.623,0
0.555,0.276,0.17,14,3,0.752,0.633,0
0.502,0.215,0.283,1,3,0.461,0.881,1
0.653,0.324,0.023,5,3,0.13,0.846,0
0.556,0.257,0.187,0,3,0.346,0.759,0
0.491,0.004,0.038,10,1,0.52,0.684,0
0.589,0.03,0.118,9,1,0.977,0.694,1
0.385,0.1,0.255,2,1,0.893,0.49,1
0.427,0.268,0.272,13,4,0.263,0.873,0
0.605,0.277,0.118,8,1,0.751,0.694,0
0.427,0.184,0.178,1,2,0.943,0.379,1
0.595,0.216,0.189,7,2,0.108,0.392,0
0.71,0.067,0.223,5,2,0.749,0.889,0
0.375,0.322,0.036,11,4,0.513,0.701,0
0.525,0.292,0.183,5,4,0.712,0.519,0
0.48,0.107,0.144,6,1,0.645,0.35,0
0.745,0.151,0.103,4,3,0.986,0.688,1
0.638,0.034,0.127,11,2,0.36,0.347,0
0.697,0.18,0.123,10,4,0.808,0.576,0
0.586,0.172,0.242,3,2,0.311,0.742,0
0.33,0.058,0.164,5,1,0.492,0.652,0
0.616,0.147,0.237,7,4,0.978,0.938,1
0.837,0.116,0.047,3,3,0.79,0.232,1
0.629,0.182,0.189,4,3,0.384,0.424,0
0.646,0.173,0.18,6,4,0.657,0.246,0
0.816,0.003,0.181,5,3,0.145,0.356,0
0.46,0.304,0.182,12,1,0.34,0.299,0
0.448,0.285,0.169,3,3,0.747,0.786,0
0.643,0.129,0.228,12,2,0.613,0.496,0
0.588,0.021,0.246,3,2,0.523,0.94,1
0.724,0.246,0.03,9,2,0.722,0.219,1
0.594,0.244,0.162,3,4,0.459,0.722,0
0.547,0.096,0.124,0,4,0.124,0.976,0
0.466,0.129,0.076,4,4,0.497,0.341,0
0.717,0.062,0.221,7,4,0.912,0.554,0
0.492,0.231,0.13,6,4,0.871,0.762,1
0.742,0.052,0.205,4,1,0.468,0.707,0
0.597,0.142,0.079,2,4,0.12,0.653,0
0.733,0.266,0.001,14,3,0.673,0.461,0
0.367,0.224,0.149,14,1,0.767,0.783,0
0.737,0.155,0.03,10,4,0.365,0.723,0
0.61,0.166,0.224,0,3,0.529,0.33,0
0.698,0.221,0.081,12,1,0.993,0.971,0
0.418,0.002,0.133,6,2,0.619,0.645,0
0.816,0.031,0.026,12,1,0.416,0.62,0
0.673,0.263,0.064,14,4,0.665,0.879,0
0.452,0.031,0.234,10,1,0.262,0.712,0
0.367,0.283,0.045,2,1,0.279,0.26,0
0.317,0.368,0.194,3,2,0.932,0.605,0
0.661,0.096,0.243,13,1,0.315,0.824,0
0.673,0.138,0.189,4,1,0.38,0.76,0
0.592,0.197,0.211,12,2,0.589,0.977,0
0.462,0.353,0.033,14,4,0.91,0.22,0
0.559,0.367,0.073,11,3,0.803,0.409,0
0.559,0.231,0.21,7,1,0.139,0.639,0
0.648,0.035,0.215,12,2,0.724,0.696,0
0.683,0.184,0.132,6,1,0.554,0.419,0
0.396,0.164,0.199,8,4,0.528,0.861,0
0.716,0.171,0.113,10,4,0.722,0.331,0
0.583,0.02,0.013,2,2,0.277,0.201,0
0.6,0.076,0.235,13,3,0.983,0.962,0
0.607,0.239,0.154,10,3,0.681,0.513,0
0.708,0.164,0.128,9,1,0.429,0.966,0
0.718,0.087,0.195,0,2,0.64,0.422,1
0.39,0.154,0.101,0,3,0.295,0.251,0
0.373,0.342,0.088,11,4,0.67,0.818,0
0.59,0.219,0.191,9,3,0.125,0.869,0
0.669,0.103,0.227,12,2,0.407,0.594,0
0.492,0.047,0.154,13,4,0.773,0.259,0
0.356,0.101,0.039,0,1,0.827,0.723,0
0.36,0.368,0.065,1,4,0.328,0.346,0
0.683,0.172,0.145,1,3,0.585,0.88,0
0.434,0.213,0.116,6,3,0.576,0.419,0
0.518,0.235,0.247,8,3,0.479,0.878,0
0.459,0.146,0.285,7,1,0.306,0.542,0
0.493,0.29,0.217,14,3,0.733,0.677,0
0.349,0.209,0.113,3,2,0.327,0.832,0
